category,type,activity,unit,co2e_per_unit
Fuels,Gaseous fuels,Butane,tonnes,3033.38067
Fuels,Gaseous fuels,Butane,litres,1.74532
Fuels,Gaseous fuels,Butane,kWh (Net CV),0.24106
Fuels,Gaseous fuels,Butane,kWh (Gross CV),0.22241
Fuels,Gaseous fuels,CNG,tonnes,2568.16441
Fuels,Gaseous fuels,CNG,litres,0.44942
Fuels,Gaseous fuels,CNG,kWh (Net CV),0.20264
Fuels,Gaseous fuels,CNG,kWh (Gross CV),0.1829
Fuels,Gaseous fuels,LNG,tonnes,2590.46441
Fuels,Gaseous fuels,LNG,litres,1.17216
Fuels,Gaseous fuels,LNG,kWh (Net CV),0.2044
Fuels,Gaseous fuels,LNG,kWh (Gross CV),0.18449
Fuels,Gaseous fuels,LPG,tonnes,2939.36095
Fuels,Gaseous fuels,LPG,litres,1.55713
Fuels,Gaseous fuels,LPG,kWh (Net CV),0.23031
Fuels,Gaseous fuels,LPG,kWh (Gross CV),0.2145
Fuels,Gaseous fuels,Natural gas,tonnes,2568.16441
Fuels,Gaseous fuels,Natural gas,cubic metres,2.04542
Fuels,Gaseous fuels,Natural gas,kWh (Net CV),0.20264
Fuels,Gaseous fuels,Natural gas,kWh (Gross CV),0.1829
Fuels,Gaseous fuels,Natural gas (100% mineral blend),tonnes,2590.46441
Fuels,Gaseous fuels,Natural gas (100% mineral blend),cubic metres,2.06318
Fuels,Gaseous fuels,Natural gas (100% mineral blend),kWh (Net CV),0.2044
Fuels,Gaseous fuels,Natural gas (100% mineral blend),kWh (Gross CV),0.18449
Fuels,Gaseous fuels,Other petroleum gas,tonnes,2578.24647
Fuels,Gaseous fuels,Other petroleum gas,litres,0.94441
Fuels,Gaseous fuels,Other petroleum gas,kWh (Net CV),0.19917
Fuels,Gaseous fuels,Other petroleum gas,kWh (Gross CV),0.18323
Fuels,Gaseous fuels,Propane,tonnes,2997.63233
Fuels,Gaseous fuels,Propane,litres,1.54357
Fuels,Gaseous fuels,Propane,kWh (Net CV),0.23257
Fuels,Gaseous fuels,Propane,kWh (Gross CV),0.21411
Fuels,Liquid fuels,Aviation spirit,tonnes,3193.6948
Fuels,Liquid fuels,Aviation spirit,litres,2.33116
Fuels,Liquid fuels,Aviation spirit,kWh (Net CV),0.25666
Fuels,Liquid fuels,Aviation spirit,kWh (Gross CV),0.24382
Fuels,Liquid fuels,Aviation turbine fuel,tonnes,3178.3652
Fuels,Liquid fuels,Aviation turbine fuel,litres,2.54269
Fuels,Liquid fuels,Aviation turbine fuel,kWh (Net CV),0.26061
Fuels,Liquid fuels,Aviation turbine fuel,kWh (Gross CV),0.24758
Fuels,Liquid fuels,Burning oil,tonnes,3165.04181
Fuels,Liquid fuels,Burning oil,litres,2.54015
Fuels,Liquid fuels,Burning oil,kWh (Net CV),0.25975
Fuels,Liquid fuels,Burning oil,kWh (Gross CV),0.24677
Fuels,Liquid fuels,Diesel (average biofuel blend),tonnes,3014.09462
Fuels,Liquid fuels,Diesel (average biofuel blend),litres,2.51279
Fuels,Liquid fuels,Diesel (average biofuel blend),kWh (Net CV),0.25403
Fuels,Liquid fuels,Diesel (average biofuel blend),kWh (Gross CV),0.23902
Fuels,Liquid fuels,Diesel (100% mineral diesel),tonnes,3203.91143
Fuels,Liquid fuels,Diesel (100% mineral diesel),litres,2.66155
Fuels,Liquid fuels,Diesel (100% mineral diesel),kWh (Net CV),0.26808
Fuels,Liquid fuels,Diesel (100% mineral diesel),kWh (Gross CV),0.25197
Fuels,Liquid fuels,Fuel oil,tonnes,3228.89019
Fuels,Liquid fuels,Fuel oil,litres,3.17493
Fuels,Liquid fuels,Fuel oil,kWh (Net CV),0.28523
Fuels,Liquid fuels,Fuel oil,kWh (Gross CV),0.26814
Fuels,Liquid fuels,Gas oil,tonnes,3226.57859
Fuels,Liquid fuels,Gas oil,litres,2.75541
Fuels,Liquid fuels,Gas oil,kWh (Net CV),0.27287
Fuels,Liquid fuels,Gas oil,kWh (Gross CV),0.25649
Fuels,Liquid fuels,Lubricants,tonnes,3180.99992
Fuels,Liquid fuels,Lubricants,litres,2.74934
Fuels,Liquid fuels,Lubricants,kWh (Net CV),0.281
Fuels,Liquid fuels,Lubricants,kWh (Gross CV),0.26414
Fuels,Liquid fuels,Naphtha,tonnes,3142.3789
Fuels,Liquid fuels,Naphtha,litres,2.11894
Fuels,Liquid fuels,Naphtha,kWh (Net CV),0.24891
Fuels,Liquid fuels,Naphtha,kWh (Gross CV),0.23647
Fuels,Liquid fuels,Petrol (average biofuel blend),tonnes,2778.52935
Fuels,Liquid fuels,Petrol (average biofuel blend),litres,2.0844
Fuels,Liquid fuels,Petrol (average biofuel blend),kWh (Net CV),0.2324
Fuels,Liquid fuels,Petrol (average biofuel blend),kWh (Gross CV),0.22013
Fuels,Liquid fuels,Petrol (100% mineral petrol),tonnes,3154.08213
Fuels,Liquid fuels,Petrol (100% mineral petrol),litres,2.35372
Fuels,Liquid fuels,Petrol (100% mineral petrol),kWh (Net CV),0.2546
Fuels,Liquid fuels,Petrol (100% mineral petrol),kWh (Gross CV),0.24186
Fuels,Liquid fuels,Processed fuel oils - residual oil,tonnes,3228.89019
Fuels,Liquid fuels,Processed fuel oils - residual oil,litres,3.17493
